[00:00:00,000 --> 00:00:03,900] Hello 大家好 欢迎回到我们金贵的关系2.0的课程
[00:00:03,900 --> 00:00:07,740] 今天呢 我们继续进行守好钱模块的学习
[00:00:07,740 --> 00:00:10,660] 那这些课呢 我们和大家讲的主题是
[00:00:10,660 --> 00:00:11,660] 娶老公
[00:00:11,660 --> 00:00:14,060] 大家如果听到娶老公这个说法
[00:00:14,060 --> 00:00:15,780] 会不会觉得非常的新奇
[00:00:15,780 --> 00:00:18,680] 平时呢 我们说的都是男人娶女人回家
[00:00:18,680 --> 00:00:21,160] 好像还没有听说过娶个老公回家
[00:00:21,160 --> 00:00:22,720] 之所以会有这样的说法
[00:00:22,720 --> 00:00:26,000] 是因为如果姐妹们学习了我们前面的课程
[00:00:26,000 --> 00:00:29,880] 真的在你的雄进轨道中把它用好了的话
[00:00:29,880 --> 00:00:33,180] 那么我认为年入百万肯定不是一个问题
[00:00:33,180 --> 00:00:35,220] 而当你的收入水平上来之后
[00:00:35,220 --> 00:00:38,000] 你的择偶标准其实是要发生一定的变化的
[00:00:38,000 --> 00:00:40,540] 如果说大家还是在用金贵的关系
[00:00:40,540 --> 00:00:44,120] 1.0里面所提到的向上择偶的标准
[00:00:44,120 --> 00:00:45,120] 来找伴侣的话
[00:00:45,120 --> 00:00:47,340] 期待男人为你提供物质
[00:00:47,340 --> 00:00:49,500] 和各方面的保障和支持
[00:00:49,500 --> 00:00:51,420] 实话难度会非常大
[00:00:51,420 --> 00:00:55,280] 而且就算找到了也未必真的能够获得幸福
[00:00:55,280 --> 00:00:59,260] 相反我们也可能会去找一些经济实力
[00:00:59,260 --> 00:01:03,180] 不如我们的 但是可以满足更细腻的男人
[00:01:03,180 --> 00:01:05,980] 那这个呢就是我今天在这里所给大家讲的
[00:01:05,980 --> 00:01:07,020] 娶老公的概念
[00:01:07,020 --> 00:01:10,400] 所以呢我们先得知道什么样的男人能过日子
[00:01:10,400 --> 00:01:12,860] 什么样的男人可能是猪猪盘
[00:01:12,860 --> 00:01:15,280] 找对了人才能守住钱
[00:01:15,280 --> 00:01:19,440] 那么具体来说什么样的女生适合娶老公呢
[00:01:19,440 --> 00:01:21,660] 最直接的就像我们刚刚所提到的
[00:01:21,660 --> 00:01:23,780] 她一定得有经济硬实力
[00:01:23,780 --> 00:01:25,880] 能够养得起孩子 养得起家
[00:01:25,880 --> 00:01:27,560] 养得起这个家里所有的人
[00:01:27,560 --> 00:01:29,720] 才富量级呢得到了这样的水平
[00:01:29,720 --> 00:01:32,660] 你才可能会去想着说娶老公这个事儿
[00:01:32,660 --> 00:01:36,760] 要不然的话 接下来的内容其实跟你就没有什么太大的关系了
